id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
5397,2024-05-23 05:50:52,6.1,2.8,4.7,1.2,1
5396,2024-05-23 05:50:51,7.7,3.0,6.1,2.3,2
5395,2024-05-23 05:50:50,5.8,2.8,5.1,2.4,2
5394,2024-05-23 05:50:49,6.5,3.0,5.2,2.0,2
5393,2024-05-23 05:50:48,7.1,3.0,5.9,2.1,2
5392,2024-05-23 05:50:47,4.8,3.4,1.9,0.2,0
5391,2024-05-23 05:50:46,5.1,3.5,1.4,0.2,0
5390,2024-05-23 05:50:45,5.5,4.2,1.4,0.2,0
5389,2024-05-23 05:50:44,7.7,2.6,6.9,2.3,2
5388,2024-05-23 05:50:43,6.4,2.8,5.6,2.2,2
5387,2024-05-23 05:50:42,6.9,3.1,5.4,2.1,2
5386,2024-05-23 05:50:41,6.6,2.9,4.6,1.3,1
5385,2024-05-23 05:50:40,6.1,2.8,4.7,1.2,1
5384,2024-05-23 05:50:39,7.2,3.0,5.8,1.6,2
5383,2024-05-23 05:50:38,6.5,3.0,5.2,2.0,2
5382,2024-05-23 05:50:37,6.7,3.3,5.7,2.1,2
5381,2024-05-23 05:50:36,6.5,2.8,4.6,1.5,1
5380,2024-05-23 05:50:35,5.4,3.4,1.5,0.4,0
5379,2024-05-23 05:50:34,5.1,2.5,3.0,1.1,1
5378,2024-05-23 05:50:33,5.4,3.7,1.5,0.2,0
5377,2024-05-23 05:50:32,7.4,2.8,6.1,1.9,2
5376,2024-05-23 05:50:31,6.4,3.2,5.3,2.3,2
5375,2024-05-23 05:50:30,6.0,3.0,4.8,1.8,2
5374,2024-05-23 05:50:29,6.5,3.2,5.1,2.0,2
5373,2024-05-23 05:50:28,6.1,3.0,4.6,1.4,1
5372,2024-05-23 05:50:27,5.0,2.3,3.3,1.0,1
5371,2024-05-23 05:50:26,5.6,3.0,4.5,1.5,1
5370,2024-05-23 05:50:25,7.9,3.8,6.4,2.0,2
5369,2024-05-23 05:50:24,5.3,3.7,1.5,0.2,0
5368,2024-05-23 05:50:23,5.7,3.0,4.2,1.2,1
5367,2024-05-23 05:50:22,6.8,2.8,4.8,1.4,1
5366,2024-05-23 05:50:21,7.3,2.9,6.3,1.8,2
5365,2024-05-23 05:50:20,7.2,3.0,5.8,1.6,2
5364,2024-05-23 05:50:19,5.1,3.8,1.5,0.3,0
5363,2024-04-26 01:31:17,6.0,3.4,4.5,1.6,1
5362,2024-04-26 01:31:16,5.6,2.9,3.6,1.3,1
5361,2024-04-26 01:31:15,6.1,3.0,4.9,1.8,2
5360,2024-04-26 01:31:14,5.6,2.8,4.9,2.0,2
5359,2024-04-26 01:31:13,6.1,3.0,4.9,1.8,2
5358,2024-04-26 01:31:12,5.7,2.5,5.0,2.0,2
5357,2024-04-26 01:31:11,5.0,2.0,3.5,1.0,1
5356,2024-04-26 01:31:09,6.2,3.4,5.4,2.3,2
5355,2024-04-26 01:31:08,6.3,3.4,5.6,2.4,2
5354,2024-04-26 01:31:07,6.8,2.8,4.8,1.4,1
5353,2024-04-26 01:31:06,6.1,3.0,4.9,1.8,2
5352,2024-04-26 01:31:05,6.4,2.9,4.3,1.3,1
5351,2024-04-26 01:31:04,5.8,2.7,4.1,1.0,1
5350,2024-04-26 01:31:03,6.9,3.1,5.1,2.3,2
5349,2024-04-26 01:31:02,6.3,3.3,4.7,1.6,1
5348,2024-04-26 01:31:01,6.5,3.0,5.2,2.0,2
5347,2024-04-26 01:31:00,4.3,3.0,1.1,0.1,0
5346,2024-04-26 01:30:59,5.1,3.8,1.9,0.4,0
5345,2024-04-26 01:30:58,6.9,3.1,5.4,2.1,2
5344,2024-04-26 01:30:57,5.7,2.9,4.2,1.3,1
5343,2024-04-26 01:30:56,6.2,2.2,4.5,1.5,1
5342,2024-04-26 01:30:55,5.6,2.5,3.9,1.1,1
5341,2024-04-26 01:30:54,7.7,2.6,6.9,2.3,2
5340,2024-04-26 01:30:53,7.9,3.8,6.4,2.0,2
5339,2024-04-26 01:30:52,5.4,3.9,1.7,0.4,0
5338,2024-04-26 01:30:51,5.8,2.7,3.9,1.2,1
5337,2024-04-26 01:30:50,4.8,3.4,1.9,0.2,0
5336,2024-04-26 01:30:49,4.5,2.3,1.3,0.3,0
5335,2024-04-26 01:30:48,6.1,3.0,4.6,1.4,1
5334,2024-04-26 01:30:47,6.7,3.0,5.0,1.7,1
5333,2024-04-26 01:30:46,5.6,2.9,3.6,1.3,1
5332,2024-04-26 01:30:45,6.3,2.3,4.4,1.3,1
5331,2024-04-26 01:30:44,6.1,2.8,4.7,1.2,1
5330,2024-04-26 01:30:43,4.6,3.4,1.4,0.3,0
5329,2024-04-26 01:30:42,6.4,2.8,5.6,2.1,2
5328,2024-04-26 01:30:41,5.5,2.4,3.8,1.1,1
5327,2024-04-26 01:30:40,6.0,2.2,5.0,1.5,2
5326,2024-04-26 01:30:39,6.4,3.1,5.5,1.8,2
5325,2024-04-26 01:30:38,5.0,2.0,3.5,1.0,1
5324,2024-04-26 01:30:37,5.0,3.5,1.6,0.6,0
5323,2024-04-26 01:30:36,6.0,2.2,5.0,1.5,2
5322,2024-04-26 01:30:35,5.2,3.5,1.5,0.2,0
5321,2024-04-26 01:30:34,6.7,3.0,5.0,1.7,1
5320,2024-04-26 01:30:33,7.4,2.8,6.1,1.9,2
5319,2024-04-26 01:30:32,5.1,3.8,1.5,0.3,0
5318,2024-04-26 01:30:31,4.7,3.2,1.6,0.2,0
5317,2024-04-26 01:30:30,5.8,2.7,4.1,1.0,1
5316,2024-04-26 01:30:29,7.6,3.0,6.6,2.1,2
5315,2024-04-26 01:30:28,6.4,3.1,5.5,1.8,2
5314,2024-04-26 01:30:27,7.3,2.9,6.3,1.8,2
5313,2024-04-26 01:30:26,4.9,2.5,4.5,1.7,2
5312,2024-04-26 01:30:25,5.8,2.7,4.1,1.0,1
5311,2024-04-26 01:30:24,6.3,2.5,4.9,1.5,1
5310,2024-04-26 01:30:23,6.0,3.0,4.8,1.8,2
5309,2024-04-26 01:30:22,6.3,2.8,5.1,1.5,2
5308,2024-04-26 01:30:21,7.6,3.0,6.6,2.1,2
5307,2024-04-26 01:30:20,5.8,2.7,4.1,1.0,1
5306,2024-04-26 01:30:19,5.1,3.5,1.4,0.3,0
5305,2024-04-26 01:30:18,5.5,2.4,3.7,1.0,1
5304,2024-04-26 01:30:17,5.1,3.3,1.7,0.5,0
5303,2024-04-26 01:30:16,7.9,3.8,6.4,2.0,2
5302,2024-04-26 01:30:15,6.3,2.5,4.9,1.5,1
5301,2024-04-26 01:30:14,5.6,2.8,4.9,2.0,2
